                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2651,                 1.5156,                 1.1593,                0.89809,                0.78102,                0.84987,                  0.516,                 1.2999,                0.84076,                 1.1542,              0.0033314,              0.0033314,              0.0033314
                      2,                 1.2628,                 0.8392,                 1.1518,                0.88266,                0.77943,                0.85273,                 0.5107,                 1.3503,                0.79044,                 1.1955,              0.0064998,              0.0064998,              0.0064998
                      3,                 1.3119,                0.83897,                 1.1914,                0.86445,                0.76382,                0.83216,                0.50282,                 1.3465,                0.83297,                 1.2028,              0.0095032,              0.0095032,              0.0095032
                      4,                 1.3114,                0.81965,                 1.2071,                0.90682,                0.79656,                0.86806,                0.52778,                 1.3103,                0.71525,                 1.1886,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.2679,                0.74746,                 1.1852,                0.90138,                0.79778,                0.87247,                 0.5457,                 1.2801,                0.67617,                 1.1674,                0.00901,                0.00901,                0.00901
                      6,                 1.2397,                0.70501,                 1.1718,                0.91249,                0.81846,                0.88945,                 0.5553,                 1.2619,                0.65377,                 1.1477,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.2246,                0.68289,                 1.1649,                 0.9162,                0.82107,                0.88915,                0.56693,                 1.2324,                0.60878,                 1.1461,               0.008515,               0.008515,               0.008515
                      8,                 1.2068,                0.65692,                 1.1521,                0.89361,                0.84284,                0.89711,                0.57102,                 1.2177,                0.60306,                 1.1411,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.1962,                 0.6413,                 1.1468,                 0.9219,                0.84414,                0.90817,                 0.5814,                 1.2017,                0.56706,                 1.1236,                0.00802,                0.00802,                0.00802
                     10,                 1.1821,                0.62429,                 1.1365,                0.91256,                0.85871,                0.91108,                0.58556,                 1.1991,                0.56259,                 1.1178,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.1783,                0.61599,                 1.1334,                0.91302,                0.86822,                0.91301,                0.59063,                 1.1806,                0.53958,                 1.1131,               0.007525,               0.007525,               0.007525
                     12,                 1.1651,                0.60454,                 1.1291,                0.91036,                0.86654,                 0.9121,                0.59236,                 1.1785,                0.53503,                 1.1106,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.1591,                0.59298,                 1.1224,                0.92156,                0.85829,                0.91508,                0.59386,                 1.1747,                0.53297,                 1.1075,                0.00703,                0.00703,                0.00703
                     14,                 1.1489,                0.58319,                 1.1184,                0.91926,                0.86831,                 0.9173,                 0.5967,                   1.17,                0.52221,                 1.1059,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.1431,                0.57807,                 1.1148,                0.91684,                 0.8736,                 0.9172,                0.59716,                 1.1673,                0.50812,                 1.1042,               0.006535,               0.006535,               0.006535
                     16,                 1.1415,                0.56905,                 1.1169,                0.92162,                0.87875,                0.92135,                0.60134,                  1.159,                0.50365,                 1.0992,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.1263,                0.56037,                  1.105,                0.92055,                0.88006,                0.92291,                0.60543,                 1.1502,                0.49254,                 1.0933,                0.00604,                0.00604,                0.00604
                     18,                 1.1245,                0.55591,                 1.1046,                0.91671,                0.88311,                0.92425,                0.60554,                 1.1514,                0.49329,                 1.0918,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.1196,                0.54409,                 1.1013,                0.92437,                0.88071,                0.92521,                0.60525,                 1.1518,                0.48822,                 1.0928,               0.005545,               0.005545,               0.005545
                     20,                 1.1144,                0.54467,                 1.0998,                0.92047,                 0.8842,                 0.9246,                0.60807,                 1.1457,                 0.4814,                 1.0901,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.1063,                0.53676,                 1.0972,                0.92076,                 0.8853,                0.92868,                0.61002,                 1.1413,                0.48087,                 1.0875,                0.00505,                0.00505,                0.00505
                     22,                 1.1048,                0.53317,                 1.0955,                0.91935,                0.89076,                0.92911,                0.61119,                 1.1411,                0.47748,                  1.084,              0.0048025,              0.0048025,              0.0048025
                     23,                  1.097,                0.52337,                   1.09,                0.92142,                0.88823,                0.92857,                0.61402,                 1.1383,                0.47371,                 1.0843,               0.004555,               0.004555,               0.004555
                     24,                 1.0904,                 0.5196,                 1.0884,                0.92013,                0.88776,                0.92903,                0.61405,                 1.1381,                0.47165,                 1.0843,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.0896,                0.51451,                 1.0856,                0.93037,                0.87941,                 0.9293,                0.61352,                 1.1377,                0.46611,                 1.0827,                0.00406,                0.00406,                0.00406
                     26,                 1.0828,                0.50796,                 1.0826,                0.92987,                0.88463,                0.93054,                0.61415,                 1.1373,                0.46405,                 1.0808,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.0734,                0.50116,                  1.079,                0.92998,                0.88398,                0.93054,                0.61581,                 1.1328,                  0.464,                 1.0781,               0.003565,               0.003565,               0.003565
                     28,                 1.0675,                0.49725,                 1.0756,                0.92747,                0.88797,                0.93116,                0.61619,                 1.1317,                0.46338,                 1.0769,              0.0033175,              0.0033175,              0.0033175
                     29,                 1.0655,                0.49287,                 1.0742,                0.92943,                0.88354,                0.93115,                0.61701,                 1.1311,                0.46078,                  1.076,                0.00307,                0.00307,                0.00307
                     30,                 1.0553,                0.48551,                 1.0695,                0.92781,                0.88768,                0.93091,                 0.6186,                 1.1307,                0.45875,                 1.0752,              0.0028225,              0.0028225,              0.0028225
                     31,                 1.0519,                0.44321,                 1.0923,                0.92617,                 0.8892,                0.93228,                0.61887,                 1.1285,                0.45903,                 1.0743,               0.002575,               0.002575,               0.002575
                     32,                 1.0422,                0.43668,                  1.088,                0.92513,                0.88855,                0.93185,                0.61949,                 1.1264,                0.45821,                 1.0738,              0.0023275,              0.0023275,              0.0023275
                     33,                 1.0342,                0.42778,                 1.0819,                 0.9263,                0.88833,                0.93304,                0.62051,                 1.1253,                  0.457,                 1.0734,                0.00208,                0.00208,                0.00208
                     34,                 1.0274,                0.42064,                 1.0764,                0.92681,                0.88761,                0.93291,                0.62075,                 1.1252,                0.45666,                 1.0725,              0.0018325,              0.0018325,              0.0018325
                     35,                 1.0153,                 0.4144,                 1.0724,                0.92827,                0.88733,                0.93253,                0.62095,                 1.1239,                0.45551,                  1.072,               0.001585,               0.001585,               0.001585
                     36,                 1.0046,                0.40609,                 1.0655,                0.92671,                0.88833,                0.93338,                0.62183,                 1.1236,                0.45458,                 1.0716,              0.0013375,              0.0013375,              0.0013375
                     37,                0.99891,                 0.4025,                 1.0622,                0.92793,                0.88848,                0.93357,                0.62197,                 1.1228,                  0.454,                  1.071,                0.00109,                0.00109,                0.00109
                     38,                0.98854,                0.39555,                 1.0586,                 0.9286,                0.88892,                 0.9335,                0.62271,                 1.1225,                0.45376,                 1.0706,              0.0008425,              0.0008425,              0.0008425
                     39,                0.98185,                0.39075,                 1.0571,                0.93071,                0.88885,                0.93368,                0.62309,                 1.1222,                0.45287,                 1.0701,               0.000595,               0.000595,               0.000595
                     40,                0.97304,                0.38384,                 1.0521,                0.92738,                 0.8895,                0.93409,                 0.6232,                 1.1219,                0.45255,                 1.0702,              0.0003475,              0.0003475,              0.0003475
